id,upload_date,cumulative_no,First_ts,First_sr
329,1/16/2021,948,Pyigyitagon,Mandalay
330,1/16/2021,923,Twantay,Yangon
331,1/16/2021,880,Pabedan,Yangon
332,1/16/2021,811,Pazundaung,Yangon
333,1/16/2021,786,Latha,Yangon
334,1/16/2021,763,Pathein,Ayeyarwady
335,1/16/2021,701,Dagon,Yangon
336,1/16/2021,693,Hinthada,Ayeyarwady
337,1/16/2021,659,Taikkyi,Yangon
338,1/16/2021,657,Patheingyi,Mandalay
339,1/16/2021,639,Htantabin,Yangon
340,1/16/2021,635,Kyauktada,Yangon
341,1/16/2021,605,Aunglan,Magway
342,1/16/2021,541,Hpa-An,Kayin
344,1/16/2021,509,Sagaing,Sagaing
345,1/16/2021,506,Maubin,Ayeyarwady
346,1/16/2021,496,Mawlamyinegyun,Ayeyarwady
349,1/16/2021,484,Zay Yar Thi Ri,Nay Pyi Taw
350,1/16/2021,476,Thaton,Mon
351,1/16/2021,470,Myingyan,Mandalay
353,1/16/2021,450,Hpakant,Kachin
354,1/16/2021,446,Kyaukpyu,Rakhine
355,1/16/2021,441,Seikgyikanaungto,Yangon
356,1/16/2021,437,Kale,Sagaing
357,1/16/2021,437,Kayan,Yangon
359,1/16/2021,420,Thongwa,Yangon
360,1/16/2021,412,Dedaye,Ayeyarwady
361,1/16/2021,398,Magway,Magway
362,1/16/2021,398,Maungdaw,Rakhine
363,1/16/2021,390,Myawaddy,Kayin
366,1/16/2021,319,Kawhmu,Yangon
367,1/16/2021,310,Kyaikto,Mon
368,1/16/2021,306,Myeik,Tanintharyi
369,1/16/2021,301,Sintgaing,Mandalay
370,1/16/2021,298,Kungyangon,Yangon
371,1/16/2021,276,Salin,Magway
372,1/16/2021,274,Kyonpyaw,Ayeyarwady
373,1/16/2021,265,Mrauk-U,Rakhine
374,1/16/2021,264,Kyauktaw,Rakhine
375,1/16/2021,263,Bogale,Ayeyarwady
376,1/16/2021,258,Taungtha,Mandalay
378,1/16/2021,250,Taungdwingyi,Magway
379,1/16/2021,248,Labutta,Ayeyarwady
380,1/16/2021,248,Kyaiklat,Ayeyarwady
381,1/16/2021,243,Nyaungdon,Ayeyarwady
382,1/16/2021,234,Taunggyi,Shan
383,1/16/2021,234,Myothit,Magway
385,1/16/2021,229,Meiktila,Mandalay
386,1/16/2021,228,Za Bu Thi Ri,Nay Pyi Taw
387,1/16/2021,226,Minbu,Magway
388,1/16/2021,224,Pyapon,Ayeyarwady
391,1/16/2021,220,Shwebo,Sagaing
392,1/16/2021,218,Kawkareik,Kayin
393,1/16/2021,215,Myaungmya,Ayeyarwady
395,1/16/2021,200,Natmauk,Magway
396,1/16/2021,195,Buthidaung,Rakhine
397,1/16/2021,193,Pyinoolwin,Mandalay
400,1/16/2021,183,Monywa,Sagaing
401,1/16/2021,180,Toungup,Rakhine
402,1/16/2021,179,Kyaukse,Mandalay
403,1/16/2021,171,Ann,Rakhine
406,1/16/2021,166,Kyaukpadaung,Mandalay
407,1/16/2021,166,Bilin,Mon
408,1/16/2021,152,Rathedaung,Rakhine
409,1/16/2021,144,Yenangyaung,Magway
410,1/16/2021,137,Paung,Mon
411,1/16/2021,135,Nyaung-U,Mandalay
413,1/16/2021,132,Chauk,Magway
414,1/16/2021,132,Pakokku,Magway
415,1/16/2021,131,Yegyi,Ayeyarwady
416,1/16/2021,130,Tedim,Chin
417,1/16/2021,125,Pauktaw,Rakhine
419,1/16/2021,122,Ingapu,Ayeyarwady
420,1/16/2021,121,Madaya,Mandalay
421,1/16/2021,118,Thandwe,Rakhine
423,1/16/2021,116,Thazi,Mandalay
425,1/16/2021,115,Dawei,Tanintharyi
426,1/16/2021,114,Poke Ba Thi Ri,Nay Pyi Taw
427,1/16/2021,112,Myitkyina,Kachin
429,1/16/2021,109,Pyawbwe,Mandalay
430,1/16/2021,108,Danubyu,Ayeyarwady
431,1/16/2021,108,Ye,Mon
432,1/16/2021,108,Tada-U,Mandalay
433,1/16/2021,105,Ponnagyun,Rakhine
434,1/16/2021,104,Tachileik,Shan
435,1/16/2021,103,Wakema,Ayeyarwady
436,1/16/2021,102,Lewe,Nay Pyi Taw
437,1/16/2021,102,Tamu,Sagaing
438,1/16/2021,101,Natogyi,Mandalay
440,1/16/2021,99,Kalaw,Shan
441,1/16/2021,97,Pyinmana,Nay Pyi Taw
443,1/16/2021,95,Myebon,Rakhine
444,1/16/2021,95,Myittha,Mandalay
445,1/16/2021,92,Minbya,Rakhine
446,1/16/2021,92,Myaing,Magway
447,1/16/2021,90,Yamethin,Mandalay
448,1/16/2021,89,Wundwin,Mandalay
449,1/16/2021,87,Yinmarbin,Sagaing
450,1/16/2021,87,Pwintbyu,Magway
451,1/16/2021,83,Kyaunggon,Ayeyarwady
452,1/16/2021,82,Kanbalu,Sagaing
454,1/16/2021,78,Hlaingbwe,Kayin
455,1/16/2021,75,Mudon,Mon
456,1/16/2021,73,Ngazun,Mandalay
457,1/16/2021,73,Salingyi,Sagaing
458,1/16/2021,72,Kyaikmaraw,Mon
460,1/16/2021,69,Gangaw,Magway
461,1/16/2021,68,Thayet,Magway
462,1/16/2021,67,Kangyidaunt,Ayeyarwady
463,1/16/2021,64,Muse,Shan
464,1/16/2021,64,Thanbyuzayat,Mon
465,1/16/2021,62,Einme,Ayeyarwady
466,1/16/2021,61,Loikaw,Kayah
467,1/16/2021,58,Lemyethna,Ayeyarwady
468,1/16/2021,54,Ywangan,Shan
469,1/16/2021,52,Chaungzon,Mon
471,1/16/2021,50,Taze,Sagaing
472,1/16/2021,50,Seikphyu,Magway
474,1/16/2021,48,Tatkon,Nay Pyi Taw
476,1/16/2021,47,Mogoke,Mandalay
477,1/16/2021,45,Launglon,Tanintharyi
478,1/16/2021,45,Mahlaing,Mandalay
479,1/16/2021,44,Mohnyin,Kachin
480,1/16/2021,44,Thabeikkyin,Mandalay
481,1/16/2021,43,Mindat,Chin
482,1/16/2021,43,Palaw,Tanintharyi
483,1/16/2021,42,Lashio,Shan
484,1/16/2021,41,Oke Ta Ra Thi Ri,Nay Pyi Taw
485,1/16/2021,41,Zalun,Ayeyarwady
486,1/16/2021,40,Chaung-U,Sagaing
487,1/16/2021,40,Myanaung,Ayeyarwady
488,1/16/2021,39,Indaw,Sagaing
489,1/16/2021,39,Sinbaungwe,Magway
490,1/16/2021,38,Gwa,Rakhine
491,1/16/2021,38,Pantanaw,Ayeyarwady
492,1/16/2021,37,Minhla,Magway
493,1/16/2021,36,Tabayin,Sagaing
494,1/16/2021,36,Pale,Sagaing
495,1/16/2021,36,Yesagyo,Magway
496,1/16/2021,35,Det Khi Na Thi Ri,Nay Pyi Taw
497,1/16/2021,35,Wetlet,Sagaing
498,1/16/2021,35,Nawnghkio,Shan
499,1/16/2021,34,Homalin,Sagaing
500,1/16/2021,33,Kyangin,Ayeyarwady
501,1/16/2021,33,Ye-U,Sagaing
502,1/16/2021,31,Pauk,Magway
503,1/16/2021,31,Lawksawk,Shan
504,1/16/2021,30,Mingin,Sagaing
505,1/16/2021,29,Kyaukme,Shan
506,1/16/2021,29,Matupi,Chin
507,1/16/2021,28,Paletwa,Chin
508,1/16/2021,27,Yebyu,Tanintharyi
509,1/16/2021,27,Ramree,Rakhine
510,1/16/2021,27,Myinmu,Sagaing
511,1/16/2021,27,Kawlin,Sagaing
512,1/16/2021,27,Katha,Sagaing
513,1/16/2021,25,Kawthoung,Tanintharyi
514,1/16/2021,25,Budalin,Sagaing
515,1/16/2021,25,Khin-U,Sagaing
516,1/16/2021,24,Tonzang,Chin
517,1/16/2021,24,Kani,Sagaing
518,1/16/2021,23,Hakha,Chin
519,1/16/2021,23,Thabaung,Ayeyarwady
520,1/16/2021,23,Falam,Chin
521,1/16/2021,22,Pinlaung,Shan
523,1/16/2021,21,Shwegu,Kachin
524,1/16/2021,21,Kyunhla,Sagaing
525,1/16/2021,20,Loilen,Shan
526,1/16/2021,20,Myaung,Sagaing
527,1/16/2021,20,Namhsan,Shan
528,1/16/2021,19,Bhamo,Kachin
529,1/16/2021,19,Kamma,Magway
530,1/16/2021,19,Kutkai,Shan
531,1/16/2021,17,Hsihseng,Shan
532,1/16/2021,17,Singu,Mandalay
533,1/16/2021,16,Ayadaw,Sagaing
534,1/16/2021,16,Mogaung,Kachin
535,1/16/2021,15,Thayetchaung,Tanintharyi
536,1/16/2021,14,Pindaya,Shan
537,1/16/2021,14,Ngape,Magway
538,1/16/2021,14,Kyunsu,Tanintharyi
539,1/16/2021,14,Waingmaw,Kachin
540,1/16/2021,14,Kalewa,Sagaing
541,1/16/2021,13,Munaung,Rakhine
542,1/16/2021,13,Ngapudaw,Ayeyarwady
543,1/16/2021,13,Hsipaw,Shan
544,1/16/2021,12,Kyainseikgyi,Kayin
545,1/16/2021,12,Mongyawng,Shan
546,1/16/2021,12,Bokpyin,Tanintharyi
547,1/16/2021,12,Nyaungshwe,Shan
548,1/16/2021,12,Saw,Magway
549,1/16/2021,11,Thandaunggyi,Kayin
550,1/16/2021,11,Mongmit,Shan
551,1/16/2021,10,Hopong,Shan
552,1/16/2021,9,Momauk,Kachin
553,1/16/2021,9,Wuntho,Sagaing
554,1/16/2021,9,Sidoktaya,Magway
555,1/16/2021,8,Nansang,Shan
556,1/16/2021,8,Namhkan,Shan
557,1/16/2021,8,Pekon,Shan
558,1/16/2021,7,Namtu,Shan
559,1/16/2021,7,Kanpetlet,Chin
560,1/16/2021,6,Tilin,Magway
561,1/16/2021,6,Kengtung,Shan
562,1/16/2021,6,Mindon,Magway
563,1/16/2021,6,Mabein,Shan
564,1/16/2021,5,Monghpyak,Shan
565,1/16/2021,5,Thantlang,Chin
566,1/16/2021,5,Paungbyin,Sagaing
567,1/16/2021,5,Mongton,Shan
568,1/16/2021,5,Mongping,Shan
569,1/16/2021,4,Tigyaing,Sagaing
570,1/16/2021,4,Tangyan,Shan
571,1/16/2021,4,Demoso,Kayah
572,1/16/2021,4,Mongnai,Shan
573,1/16/2021,4,Nanyun,Sagaing
574,1/16/2021,3,Hpapun,Kayin
575,1/16/2021,3,Monghsat,Shan
576,1/16/2021,3,Hkamti,Sagaing
577,1/16/2021,3,Monghsu,Shan
579,1/16/2021,2,Puta-O,Kachin
580,1/16/2021,2,Langkho,Shan
581,1/17/2021,6024,Mingaladon,Yangon
582,1/17/2021,5837,North Okkalapa,Yangon
583,1/17/2021,4807,Hlaingtharya,Yangon
584,1/17/2021,4609,Insein,Yangon
585,1/17/2021,4535,Thingangyun,Yangon
586,1/17/2021,3853,Mayangone,Yangon
587,1/17/2021,3799,Shwepyithar,Yangon
589,1/17/2021,3178,Dagon Myothit (South),Yangon
590,1/17/2021,3007,Tamwe,Yangon
591,1/17/2021,2977,South Okkalapa,Yangon
592,1/17/2021,2958,Hlaing,Yangon
593,1/17/2021,2856,Thanlyin,Yangon
594,1/17/2021,2676,Chanayethazan,Mandalay
595,1/17/2021,2491,Aungmyaythazan,Mandalay
596,1/17/2021,2489,Kamaryut,Yangon
597,1/17/2021,2468,Mahaaungmyay,Mandalay
598,1/17/2021,2391,Thaketa,Yangon
599,1/17/2021,2324,Dagon Myothit (North),Yangon
600,1/17/2021,2148,Hmawbi,Yangon
601,1/17/2021,2050,Dagon Myothit (East),Yangon
602,1/17/2021,2040,Kyeemyindaing,Yangon
603,1/17/2021,2028,Sanchaung,Yangon
604,1/17/2021,1955,Chanmyathazi,Mandalay
605,1/17/2021,1855,Mingalartaungnyunt,Yangon
606,1/17/2021,1594,Amarapura,Mandalay
607,1/17/2021,1550,Sittwe,Rakhine
608,1/17/2021,1548,Bahan,Yangon
609,1/17/2021,1412,Dala,Yangon
610,1/17/2021,1394,Mawlamyine,Mon
611,1/17/2021,1297,Yankin,Yangon
612,1/17/2021,1284,Lanmadaw,Yangon
613,1/17/2021,1253,Dagon Myothit (Seikkan),Yangon
614,1/17/2021,1171,Botahtaung,Yangon
615,1/17/2021,1119,Hlegu,Yangon
616,1/17/2021,1103,Dawbon,Yangon
617,1/17/2021,1094,Ahlone,Yangon
618,1/17/2021,958,Pyigyitagon,Mandalay
619,1/17/2021,954,Kyauktan,Yangon
620,1/17/2021,925,Twantay,Yangon
621,1/17/2021,881,Pabedan,Yangon
622,1/17/2021,814,Pazundaung,Yangon
623,1/17/2021,790,Latha,Yangon
624,1/17/2021,766,Pathein,Ayeyarwady
625,1/17/2021,705,Hinthada,Ayeyarwady
626,1/17/2021,704,Dagon,Yangon
627,1/17/2021,663,Patheingyi,Mandalay
628,1/17/2021,659,Taikkyi,Yangon
629,1/17/2021,640,Kyauktada,Yangon
630,1/17/2021,639,Htantabin,Yangon
631,1/17/2021,607,Aunglan,Magway
632,1/17/2021,565,Hpa-An,Kayin
634,1/17/2021,514,Sagaing,Sagaing
635,1/17/2021,506,Maubin,Ayeyarwady
636,1/17/2021,496,Mawlamyinegyun,Ayeyarwady
637,1/17/2021,488,Zay Yar Thi Ri,Nay Pyi Taw
639,1/17/2021,480,Myingyan,Mandalay
640,1/17/2021,477,Thaton,Mon
642,1/17/2021,450,Hpakant,Kachin
644,1/17/2021,447,Kale,Sagaing
645,1/17/2021,446,Kyaukpyu,Rakhine
646,1/17/2021,441,Seikgyikanaungto,Yangon
647,1/17/2021,439,Kayan,Yangon
649,1/17/2021,420,Thongwa,Yangon
650,1/17/2021,413,Dedaye,Ayeyarwady
651,1/17/2021,403,Magway,Magway
652,1/17/2021,398,Maungdaw,Rakhine
653,1/17/2021,392,Myawaddy,Kayin
656,1/17/2021,319,Kawhmu,Yangon
657,1/17/2021,310,Kyaikto,Mon
658,1/17/2021,306,Myeik,Tanintharyi
659,1/17/2021,301,Sintgaing,Mandalay
