,id,upload_date,townships,sr,cumulative_no,First_ts,First_sr,Township_Name_Eng,Tsp_Pcode,SR_Pcode,SR_Name_Eng,Township_Name_MMR
12,14,1/15/2021,Chanayethazan Township,Mandalay Region,2651,Chanayethazan,Mandalay,Chanayethazan,MMR010002,MMR010,Mandalay,á€á€»á€™á€ºá€¸á€¡á€±á€¸á€žá€¬á€…á€¶
13,15,1/15/2021,Kamaryut Township,Yangon Region,2480,Kamaryut,Yangon,Kamaryut,MMR013041,MMR013,Yangon,á€€á€™á€¬á€›á€½á€á€º
14,16,1/15/2021,Aungmyaythazan Township,Mandalay Region,2449,Aungmyaythazan,Mandalay,Aungmyaythazan,MMR010001,MMR010,Mandalay,á€¡á€±á€¬á€„á€ºá€™á€¼á€±á€žá€¬á€…á€¶
15,17,1/15/2021,Mahaaungmyay Township,Mandalay Region,2440,Mahaaungmyay,Mandalay,Mahaaungmyay,MMR010003,MMR010,Mandalay,á€™á€Ÿá€¬á€¡á€±á€¬á€„á€ºá€™á€¼á€±
16,18,1/15/2021,Thaketa Township,Yangon Region,2385,Thaketa,Yangon,Thaketa,MMR013013,MMR013,Yangon,á€žá€¬á€€á€±á€
17,19,1/15/2021,Dagon Myothit (North) Township,Yangon Region,2308,Dagon Myothit (North),Yangon,Dagon Myothit (North),MMR013019,MMR013,Yangon,á€’á€‚á€¯á€¶á€™á€¼á€­á€¯á€·á€žá€…á€º (á€™á€¼á€±á€¬á€€á€ºá€•á€­á€¯á€„á€ºá€¸)
18,20,1/15/2021,Hmawbi Township,Yangon Region,2107,Hmawbi,Yangon,Hmawbi,MMR013003,MMR013,Yangon,á€™á€¾á€±á€¬á€ºá€˜á€®
19,21,1/15/2021,Dagon Myothit (East) Township,Yangon Region,2044,Dagon Myothit (East),Yangon,Dagon Myothit (East),MMR013020,MMR013,Yangon,á€’á€‚á€¯á€¶á€™á€¼á€­á€¯á€·á€žá€…á€º (á€¡á€›á€¾á€±á€·á€•á€­á€¯á€„á€ºá€¸)
20,22,1/15/2021,Kyeemyindaing Township,Yangon Region,2038,Kyeemyindaing,Yangon,Kyeemyindaing,MMR013038,MMR013,Yangon,á€€á€¼á€Šá€ºá€·á€™á€¼á€„á€ºá€á€­á€¯á€„á€º
21,23,1/15/2021,Sanchaung Township,Yangon Region,2024,Sanchaung,Yangon,Sanchaung,MMR013039,MMR013,Yangon,á€…á€™á€ºá€¸á€á€»á€±á€¬á€„á€ºá€¸
22,24,1/15/2021,Chanmyathazi Township,Mandalay Region,1916,Chanmyathazi,Mandalay,Chanmyathazi,MMR010004,MMR010,Mandalay,á€á€»á€™á€ºá€¸á€™á€¼á€žá€¬á€…á€Šá€º
23,25,1/15/2021,Mingalartaungnyunt Township,Yangon Region,1836,Mingalartaungnyunt,Yangon,Mingalartaungnyunt,MMR013022,MMR013,Yangon,á€™á€„á€ºá€¹á€‚á€œá€¬á€á€±á€¬á€„á€ºá€Šá€½á€”á€ºá€·
24,26,1/15/2021,Amarapura Township,Mandalay Region,1579,Amarapura,Mandalay,Amarapura,MMR010006,MMR010,Mandalay,á€¡á€™á€›á€•á€°á€›
25,27,1/15/2021,Sittwe Township,Rakhine State,1549,Sittwe,Rakhine,Sittwe,MMR012001,MMR012,Rakhine,á€…á€…á€ºá€á€½á€±
26,28,1/15/2021,Bahan Township,Yangon Region,1546,Bahan,Yangon,Bahan,MMR013044,MMR013,Yangon,á€—á€Ÿá€”á€ºá€¸
27,29,1/15/2021,Dala Township,Yangon Region,1411,Dala,Yangon,Dala,MMR013030,MMR013,Yangon,á€’á€œ
28,30,1/15/2021,Mawlamyine Township,Mon State,1363,Mawlamyine,Mon,Mawlamyine,MMR011001,MMR011,Mon,á€™á€±á€¬á€ºá€œá€™á€¼á€­á€¯á€„á€º
29,31,1/15/2021,Yankin Township,Yangon Region,1294,Yankin,Yangon,Yankin,MMR013010,MMR013,Yangon,á€›á€”á€ºá€€á€„á€ºá€¸
30,32,1/15/2021,Lanmadaw Township,Yangon Region,1276,Lanmadaw,Yangon,Lanmadaw,MMR013035,MMR013,Yangon,á€œá€™á€ºá€¸á€™á€á€±á€¬á€º
31,33,1/15/2021,Dagon Myothit (Seikkan),Yangon Region,1250,Dagon Myothit (Seikkan),Yangon,Dagon Myothit (Seikkan),MMR013021,MMR013,Yangon,á€’á€‚á€¯á€¶á€™á€¼á€­á€¯á€·á€žá€…á€º (á€†á€­á€•á€ºá€€á€™á€ºá€¸)
32,34,1/15/2021,Botahtaung Township,Yangon Region,1169,Botahtaung,Yangon,Botahtaung,MMR013017,MMR013,Yangon,á€—á€­á€¯á€œá€ºá€á€‘á€±á€¬á€„á€º
33,35,1/15/2021,Hlegu Township,Yangon Region,1117,Hlegu,Yangon,Hlegu,MMR013004,MMR013,Yangon,á€œá€¾á€Šá€ºá€¸á€€á€°á€¸
34,36,1/15/2021,Dawbon Township,Yangon Region,1102,Dawbon,Yangon,Dawbon,MMR013014,MMR013,Yangon,á€’á€±á€«á€•á€¯á€¶
35,37,1/15/2021,Ahlone Township,Yangon Region,1088,Ahlone,Yangon,Ahlone,MMR013037,MMR013,Yangon,á€¡á€œá€¯á€¶
36,38,1/15/2021,Kyauktan Township,Yangon Region,949,Kyauktan,Yangon,Kyauktan,MMR013024,MMR013,Yangon,á€€á€»á€±á€¬á€€á€ºá€á€”á€ºá€¸
37,39,1/15/2021,Pyigyitagon Township,Mandalay Region,944,Pyigyitagon,Mandalay,Pyigyitagon,MMR010005,MMR010,Mandalay,á€•á€¼á€Šá€ºá€€á€¼á€®á€¸á€á€¶á€á€½á€”á€º
38,40,1/15/2021,Twantay Township,Yangon Region,923,Twantay,Yangon,Twantay,MMR013027,MMR013,Yangon,á€á€½á€¶á€á€±á€¸
39,41,1/15/2021,Pabedan Township,Yangon Region,880,Pabedan,Yangon,Pabedan,MMR013034,MMR013,Yangon,á€•á€”á€ºá€¸á€˜á€²á€á€”á€ºá€¸
40,42,1/15/2021,Pazundaung Township,Yangon Region,809,Pazundaung,Yangon,Pazundaung,MMR013016,MMR013,Yangon,á€•á€¯á€‡á€½á€”á€ºá€á€±á€¬á€„á€º
41,43,1/15/2021,Latha Township,Yangon Region,785,Latha,Yangon,Latha,MMR013036,MMR013,Yangon,á€œá€žá€¬
42,44,1/15/2021,Pathein Township,Ayeyarwady Region,756,Pathein,Ayeyarwady,Pathein,MMR017001,MMR017,Ayeyarwady,á€•á€¯á€žá€­á€™á€º
43,45,1/15/2021,Dagon Township,Yangon Region,700,Dagon,Yangon,Dagon,MMR013043,MMR013,Yangon,á€’á€‚á€¯á€¶
44,46,1/15/2021,Hinthada Township,Ayeyarwady Region,671,Hinthada,Ayeyarwady,Hinthada,MMR017008,MMR017,Ayeyarwady,á€Ÿá€„á€ºá€¹á€žá€¬á€
45,47,1/15/2021,Taikkyi Township,Yangon Region,658,Taikkyi,Yangon,Taikkyi,MMR013005,MMR013,Yangon,á€á€­á€¯á€€á€ºá€€á€¼á€®á€¸
46,48,1/15/2021,Patheingyi Township,Mandalay Region,650,Patheingyi,Mandalay,Patheingyi,MMR010007,MMR010,Mandalay,á€•á€¯á€žá€­á€™á€ºá€€á€¼á€®á€¸
47,49,1/15/2021,Htantabin Township,Yangon Region,639,Htantabin,Yangon,Htantabin,MMR013006,MMR013,Yangon,á€‘á€”á€ºá€¸á€á€•á€„á€º
48,50,1/15/2021,Kyauktada Township,Yangon Region,635,Kyauktada,Yangon,Kyauktada,MMR013033,MMR013,Yangon,á€€á€»á€±á€¬á€€á€ºá€á€¶á€á€¬á€¸
49,51,1/15/2021,Aunglan Township,Magway Region,594,Aunglan,Magway,Aunglan,MMR009016,MMR009,Magway,á€¡á€±á€¬á€„á€ºá€œá€¶
50,52,1/15/2021,Hpa-An Township,Kayin State,539,Hpa-An,Kayin,Hpa-An,MMR003001,MMR003,Kayin,á€˜á€¬á€¸á€¡á€¶
51,55,1/15/2021,Maubin Township,Ayeyarwady Region,505,Maubin,Ayeyarwady,Maubin,MMR017019,MMR017,Ayeyarwady,á€™á€¡á€°á€•á€„á€º
52,56,1/15/2021,Sagaing Township,Sagaing Region,497,Sagaing,Sagaing,Sagaing,MMR005001,MMR005,Sagaing,á€…á€…á€ºá€€á€­á€¯á€„á€ºá€¸
53,57,1/15/2021,Mawlamyinegyun Township,Ayeyarwady Region,494,Mawlamyinegyun,Ayeyarwady,Mawlamyinegyun,MMR017018,MMR017,Ayeyarwady,á€™á€±á€¬á€ºá€œá€™á€¼á€­á€¯á€„á€ºá€€á€»á€½á€”á€ºá€¸
54,58,1/15/2021,Zay Yar Thi Ri Township,Naypyitaw,482,Zay Yar Thi Ri,Nay Pyi Taw,Zay Yar Thi Ri,MMR018001,MMR018,Nay Pyi Taw,á€‡á€±á€šá€»á€¬á€žá€®á€›á€­
55,59,1/15/2021,Thaton Township,Mon State,476,Thaton,Mon,Thaton,MMR011007,MMR011,Mon,á€žá€‘á€¯á€¶
56,60,1/15/2021,Myingyan Township,Mandalay Region,468,Myingyan,Mandalay,Myingyan,MMR010017,MMR010,Mandalay,á€™á€¼á€„á€ºá€¸á€á€¼á€¶
57,63,1/15/2021,Kyaukpyu Township,Rakhine State,446,Kyaukpyu,Rakhine,Kyaukpyu,MMR012011,MMR012,Rakhine,á€€á€»á€±á€¬á€€á€ºá€–á€¼á€°
58,64,1/15/2021,Hpakant Township,Kachin State,445,Hpakant,Kachin,Hpakant,MMR001009,MMR001,Kachin,á€–á€¬á€¸á€€á€”á€ºá€·
59,65,1/15/2021,Seikgyikanaungto Township,Yangon Region,438,Seikgyikanaungto,Yangon,Seikgyikanaungto,MMR013031,MMR013,Yangon,á€†á€­á€•á€ºá€€á€¼á€®á€¸/á€á€”á€±á€¬á€„á€ºá€á€­á€¯
60,66,1/15/2021,Kayan Township,Yangon Region,436,Kayan,Yangon,Kayan,MMR013026,MMR013,Yangon,á€á€›á€™á€ºá€¸
61,68,1/15/2021,Kale Township,Sagaing Region,430,Kale,Sagaing,Kale,MMR005027,MMR005,Sagaing,á€€á€œá€±á€¸
62,69,1/15/2021,Thongwa Township,Yangon Region,420,Thongwa,Yangon,Thongwa,MMR013025,MMR013,Yangon,á€žá€¯á€¶á€¸á€á€½
63,70,1/15/2021,Dedaye Township,Ayeyarwady Region,412,Dedaye,Ayeyarwady,Dedaye,MMR017026,MMR017,Ayeyarwady,á€’á€±á€¸á€’á€›á€²
64,71,1/15/2021,Maungdaw Township,Rakhine State,398,Maungdaw,Rakhine,Maungdaw,MMR012009,MMR012,Rakhine,á€™á€±á€¬á€„á€ºá€á€±á€¬
65,72,1/15/2021,Magway Township,Magway Region,395,Magway,Magway,Magway,MMR009001,MMR009,Magway,á€™á€€á€½á€±á€¸
66,73,1/15/2021,Myawaddy Township,Kayin State,389,Myawaddy,Kayin,Myawaddy,MMR003005,MMR003,Kayin,á€™á€¼á€á€á€®
67,76,1/15/2021,Kawhmu Township,Yangon Region,319,Kawhmu,Yangon,Kawhmu,MMR013028,MMR013,Yangon,á€€á€±á€¬á€·á€™á€¾á€°á€¸
68,77,1/15/2021,Kyaikto Township,Mon State,309,Kyaikto,Mon,Kyaikto,MMR011009,MMR011,Mon,á€€á€»á€­á€¯á€€á€ºá€‘á€­á€¯
69,78,1/15/2021,Myeik Township,Tanintharyi Region,306,Myeik,Tanintharyi,Myeik,MMR006005,MMR006,Tanintharyi,á€™á€¼á€­á€á€º
70,79,1/15/2021,Kungyangon Township,Yangon Region,298,Kungyangon,Yangon,Kungyangon,MMR013029,MMR013,Yangon,á€€á€½á€™á€ºá€¸á€á€¼á€¶á€€á€¯á€”á€ºá€¸
71,80,1/15/2021,Sintgaing Township,Mandalay Region,297,Sintgaing,Mandalay,Sintgaing,MMR010014,MMR010,Mandalay,á€…á€‰á€ºá€·á€€á€­á€¯á€„á€º
72,81,1/15/2021,Salin Township,Magway Region,276,Salin,Magway,Salin,MMR009010,MMR009,Magway,á€…á€œá€„á€ºá€¸
73,82,1/15/2021,Kyonpyaw Township,Ayeyarwady Region,274,Kyonpyaw,Ayeyarwady,Kyonpyaw,MMR017005,MMR017,Ayeyarwady,á€€á€»á€¯á€¶á€•á€»á€±á€¬á€º
74,83,1/15/2021,Mrauk-U Township,Rakhine State,265,Mrauk-U,Rakhine,Mrauk-U,MMR012003,MMR012,Rakhine,á€™á€¼á€±á€¬á€€á€ºá€¦á€¸
75,84,1/15/2021,Kyauktaw Township,Rakhine State,264,Kyauktaw,Rakhine,Kyauktaw,MMR012004,MMR012,Rakhine,á€€á€»á€±á€¬á€€á€ºá€á€±á€¬á€º
76,85,1/15/2021,Bogale Township,Ayeyarwady Region,263,Bogale,Ayeyarwady,Bogale,MMR017024,MMR017,Ayeyarwady,á€˜á€­á€¯á€€á€œá€±á€¸
77,87,1/15/2021,Taungdwingyi Township,Magway Region,250,Taungdwingyi,Magway,Taungdwingyi,MMR009004,MMR009,Magway,á€á€±á€¬á€„á€ºá€á€½á€„á€ºá€¸á€€á€¼á€®á€¸
78,88,1/15/2021,Labutta Township,Ayeyarwady Region,248,Labutta,Ayeyarwady,Labutta,MMR017016,MMR017,Ayeyarwady,á€œá€•á€½á€á€¹á€á€¬
79,89,1/15/2021,Kyaiklat Township,Ayeyarwady Region,248,Kyaiklat,Ayeyarwady,Kyaiklat,MMR017025,MMR017,Ayeyarwady,á€€á€»á€­á€¯á€€á€ºá€œá€á€º
80,90,1/15/2021,Taungtha Township,Mandalay Region,246,Taungtha,Mandalay,Taungtha,MMR010018,MMR010,Mandalay,á€á€±á€¬á€„á€ºá€žá€¬
81,91,1/15/2021,Nyaungdon Township,Ayeyarwady Region,242,Nyaungdon,Ayeyarwady,Nyaungdon,MMR017021,MMR017,Ayeyarwady,á€Šá€±á€¬á€„á€ºá€á€¯á€”á€ºá€¸
82,92,1/15/2021,Myothit Township,Magway Region,234,Myothit,Magway,Myothit,MMR009005,MMR009,Magway,á€™á€¼á€­á€¯á€·á€žá€…á€º
83,95,1/15/2021,Meiktila Township,Mandalay Region,229,Meiktila,Mandalay,Meiktila,MMR010028,MMR010,Mandalay,á€™á€­á€á€¹á€‘á€®á€œá€¬
84,96,1/15/2021,Za Bu Thi Ri Township,Naypyitaw,228,Za Bu Thi Ri,Nay Pyi Taw,Za Bu Thi Ri,MMR018002,MMR018,Nay Pyi Taw,á€‡á€™á€¹á€—á€°á€žá€®á€›á€­
85,97,1/15/2021,Minbu Township,Magway Region,226,Minbu,Magway,Minbu,MMR009007,MMR009,Magway,á€™á€„á€ºá€¸á€˜á€°á€¸
86,98,1/15/2021,Pyapon Township,Ayeyarwady Region,224,Pyapon,Ayeyarwady,Pyapon,MMR017023,MMR017,Ayeyarwady,á€–á€»á€¬á€•á€¯á€¶
87,100,1/15/2021,Kawkareik Township,Kayin State,218,Kawkareik,Kayin,Kawkareik,MMR003006,MMR003,Kayin,á€€á€±á€¬á€·á€€á€›á€­á€á€º
88,102,1/15/2021,Shwebo Township,Sagaing Region,216,Shwebo,Sagaing,Shwebo,MMR005004,MMR005,Sagaing,á€›á€½á€¾á€±á€˜á€­á€¯
89,103,1/15/2021,Myaungmya Township,Ayeyarwady Region,215,Myaungmya,Ayeyarwady,Myaungmya,MMR017014,MMR017,Ayeyarwady,á€™á€¼á€±á€¬á€„á€ºá€¸á€™á€¼
90,104,1/15/2021,Natmauk Township,Magway Region,200,Natmauk,Magway,Natmauk,MMR009006,MMR009,Magway,á€”á€á€ºá€™á€±á€¬á€€á€º
91,105,1/15/2021,Buthidaung Township,Rakhine State,195,Buthidaung,Rakhine,Buthidaung,MMR012010,MMR012,Rakhine,á€˜á€°á€¸á€žá€®á€¸á€á€±á€¬á€„á€º
92,109,1/15/2021,Pyinoolwin Township,Mandalay Region,187,Pyinoolwin,Mandalay,Pyinoolwin,MMR010008,MMR010,Mandalay,á€•á€¼á€„á€ºá€¦á€¸á€œá€½á€„á€º
93,110,1/15/2021,Monywa Township,Sagaing Region,183,Monywa,Sagaing,Monywa,MMR005012,MMR005,Sagaing,á€™á€¯á€¶á€›á€½á€¬
94,111,1/15/2021,Toungup Township,Rakhine State,180,Toungup,Rakhine,Toungup,MMR012016,MMR012,Rakhine,á€á€±á€¬á€„á€ºá€€á€¯á€á€º
95,112,1/15/2021,Kyaukse Township,Mandalay Region,173,Kyaukse,Mandalay,Kyaukse,MMR010013,MMR010,Mandalay,á€€á€»á€±á€¬á€€á€ºá€†á€Šá€º
96,113,1/15/2021,Ann Township,Rakhine State,171,Ann,Rakhine,Ann,MMR012014,MMR012,Rakhine,á€¡á€™á€ºá€¸
97,116,1/15/2021,Bilin Township,Mon State,166,Bilin,Mon,Bilin,MMR011010,MMR011,Mon,á€˜á€®á€¸á€œá€„á€ºá€¸
98,117,1/15/2021,Kyaukpadaung Township,Mandalay Region,157,Kyaukpadaung,Mandalay,Kyaukpadaung,MMR010020,MMR010,Mandalay,á€€á€»á€±á€¬á€€á€ºá€•á€”á€ºá€¸á€á€±á€¬á€„á€ºá€¸
99,118,1/15/2021,Rathedaung Township,Rakhine State,152,Rathedaung,Rakhine,Rathedaung,MMR012008,MMR012,Rakhine,á€›á€žá€±á€·á€á€±á€¬á€„á€º
100,119,1/15/2021,Yenangyaung Township,Magway Region,144,Yenangyaung,Magway,Yenangyaung,MMR009002,MMR009,Magway,á€›á€±á€”á€¶á€á€»á€±á€¬á€„á€ºá€¸
101,120,1/15/2021,Paung Township,Mon State,136,Paung,Mon,Paung,MMR011008,MMR011,Mon,á€•á€±á€«á€„á€º
102,121,1/15/2021,Nyaung-U Township,Mandalay Region,135,Nyaung-U,Mandalay,Nyaung-U,MMR010022,MMR010,Mandalay,á€Šá€±á€¬á€„á€ºá€¦á€¸
103,123,1/15/2021,Pakokku Township,Magway Region,132,Pakokku,Magway,Pakokku,MMR009018,MMR009,Magway,á€•á€á€¯á€€á€¹á€€á€°
104,124,1/15/2021,Chauk Township,Magway Region,130,Chauk,Magway,Chauk,MMR009003,MMR009,Magway,á€á€»á€±á€¬á€€á€º
105,125,1/15/2021,Yegyi Township,Ayeyarwady Region,130,Yegyi,Ayeyarwady,Yegyi,MMR017006,MMR017,Ayeyarwady,á€›á€±á€€á€¼á€Šá€º
106,126,1/15/2021,Tedim Township,Chin State,127,Tedim,Chin,Tedim,MMR004004,MMR004,Chin,á€á€®á€¸á€á€­á€”á€º
107,127,1/15/2021,Pauktaw Township,Rakhine State,124,Pauktaw,Rakhine,Pauktaw,MMR012007,MMR012,Rakhine,á€•á€±á€«á€€á€ºá€á€±á€¬
108,129,1/15/2021,Thandwe Township,Rakhine State,118,Thandwe,Rakhine,Thandwe,MMR012015,MMR012,Rakhine,á€žá€¶á€á€½á€²
109,131,1/15/2021,Madaya Township,Mandalay Region,116,Madaya,Mandalay,Madaya,MMR010009,MMR010,Mandalay,á€™á€á€¹á€á€›á€¬
110,132,1/15/2021,Thazi Township,Mandalay Region,116,Thazi,Mandalay,Thazi,MMR010030,MMR010,Mandalay,á€žá€¬á€…á€Šá€º
111,134,1/15/2021,Dawei Township,Tanintharyi Region,115,Dawei,Tanintharyi,Dawei,MMR006001,MMR006,Tanintharyi,á€‘á€¬á€¸á€á€šá€º
112,135,1/15/2021,Ingapu Township,Ayeyarwady Region,115,Ingapu,Ayeyarwady,Ingapu,MMR017013,MMR017,Ayeyarwady,á€¡á€„á€ºá€¹á€‚á€•á€°
113,136,1/15/2021,Poke Ba Thi Ri Township,Naypyitaw,114,Poke Ba Thi Ri,Nay Pyi Taw,Poke Ba Thi Ri,MMR018005,MMR018,Nay Pyi Taw,á€•á€¯á€—á€¹á€—á€žá€®á€›á€­
114,137,1/15/2021,Myitkyina Township,Kachin State,112,Myitkyina,Kachin,Myitkyina,MMR001001,MMR001,Kachin,á€™á€¼á€…á€ºá€€á€¼á€®á€¸á€”á€¬á€¸
115,139,1/15/2021,Pyawbwe Township,Mandalay Region,108,Pyawbwe,Mandalay,Pyawbwe,MMR010024,MMR010,Mandalay,á€•á€»á€±á€¬á€ºá€˜á€½á€šá€º
116,140,1/15/2021,Ye Township,Mon State,106,Ye,Mon,Ye,MMR011006,MMR011,Mon,á€›á€±á€¸
117,141,1/15/2021,Tada-U Township,Mandalay Region,106,Tada-U,Mandalay,Tada-U,MMR010016,MMR010,Mandalay,á€á€¶á€á€¬á€¸á€¦á€¸
118,142,1/15/2021,Ponnagyun Township,Rakhine State,105,Ponnagyun,Rakhine,Ponnagyun,MMR012002,MMR012,Rakhine,á€•á€¯á€á€¹á€á€¬á€¸á€€á€»á€½á€”á€ºá€¸
119,144,1/15/2021,Danubyu Township,Ayeyarwady Region,104,Danubyu,Ayeyarwady,Danubyu,MMR017022,MMR017,Ayeyarwady,á€“á€”á€¯á€–á€¼á€°
120,145,1/15/2021,Wakema Township,Ayeyarwady Region,103,Wakema,Ayeyarwady,Wakema,MMR017017,MMR017,Ayeyarwady,á€á€«á€¸á€á€šá€ºá€™
121,146,1/15/2021,Tamu Township,Sagaing Region,101,Tamu,Sagaing,Tamu,MMR005030,MMR005,Sagaing,á€á€™á€°á€¸
122,147,1/15/2021,Lewe Township,Naypyitaw,100,Lewe,Nay Pyi Taw,Lewe,MMR018007,MMR018,Nay Pyi Taw,á€œá€šá€ºá€á€±á€¸
123,150,1/15/2021,Pyinmana Township,Naypyitaw,97,Pyinmana,Nay Pyi Taw,Pyinmana,MMR018006,MMR018,Nay Pyi Taw,á€•á€»á€‰á€ºá€¸á€™á€”á€¬á€¸
124,152,1/15/2021,Natogyi Township,Mandalay Region,97,Natogyi,Mandalay,Natogyi,MMR010019,MMR010,Mandalay,á€”á€½á€¬á€¸á€‘á€­á€¯á€¸á€€á€¼á€®á€¸
125,153,1/15/2021,Myebon Township,Rakhine State,95,Myebon,Rakhine,Myebon,MMR012006,MMR012,Rakhine,á€™á€¼á€±á€•á€¯á€¶
126,154,1/15/2021,Myittha Township,Mandalay Region,95,Myittha,Mandalay,Myittha,MMR010015,MMR010,Mandalay,á€™á€¼á€…á€ºá€žá€¬á€¸
127,155,1/15/2021,Minbya Township,Rakhine State,92,Minbya,Rakhine,Minbya,MMR012005,MMR012,Rakhine,á€™á€„á€ºá€¸á€•á€¼á€¬á€¸
128,156,1/15/2021,Myaing Township,Magway Region,92,Myaing,Magway,Myaing,MMR009020,MMR009,Magway,á€™á€¼á€­á€¯á€„á€º
129,157,1/15/2021,Yamethin Township,Mandalay Region,90,Yamethin,Mandalay,Yamethin,MMR010023,MMR010,Mandalay,á€›á€™á€Šá€ºá€¸á€žá€„á€ºá€¸
130,158,1/15/2021,Wundwin Township,Mandalay Region,87,Wundwin,Mandalay,Wundwin,MMR010031,MMR010,Mandalay,á€á€™á€ºá€¸á€á€½á€„á€ºá€¸
131,159,1/15/2021,Pwintbyu Township,Magway Region,87,Pwintbyu,Magway,Pwintbyu,MMR009008,MMR009,Magway,á€•á€½á€„á€ºá€·á€–á€¼á€°
132,160,1/15/2021,Yinmarbin Township,Sagaing Region,85,Yinmarbin,Sagaing,Yinmarbin,MMR005016,MMR005,Sagaing,á€šá€„á€ºá€¸á€™á€¬á€•á€„á€º
133,161,1/15/2021,Kyaunggon Township,Ayeyarwady Region,83,Kyaunggon,Ayeyarwady,Kyaunggon,MMR017007,MMR017,Ayeyarwady,á€€á€»á€±á€¬á€„á€ºá€¸á€€á€¯á€”á€ºá€¸
134,162,1/15/2021,Kanbalu Township,Sagaing Region,81,Kanbalu,Sagaing,Kanbalu,MMR005007,MMR005,Sagaing,á€€á€”á€ºá€·á€˜á€œá€°
135,164,1/15/2021,Hlaingbwe Township,Kayin State,78,Hlaingbwe,Kayin,Hlaingbwe,MMR003002,MMR003,Kayin,á€œá€¾á€­á€¯á€„á€ºá€¸á€˜á€½á€²á€·
136,165,1/15/2021,Mudon Township,Mon State,74,Mudon,Mon,Mudon,MMR011005,MMR011,Mon,á€™á€¯á€’á€¯á€¶
137,166,1/15/2021,Ngazun Township,Mandalay Region,73,Ngazun,Mandalay,Ngazun,MMR010021,MMR010,Mandalay,á€„á€«á€”á€ºá€¸á€‡á€½á€”á€º
138,168,1/15/2021,Kyaikmaraw Township,Mon State,71,Kyaikmaraw,Mon,Kyaikmaraw,MMR011002,MMR011,Mon,á€€á€»á€­á€¯á€€á€ºá€™á€›á€±á€¬
139,169,1/15/2021,Salingyi Township,Sagaing Region,70,Salingyi,Sagaing,Salingyi,MMR005018,MMR005,Sagaing,á€†á€¬á€¸á€œá€„á€ºá€¸á€€á€¼á€®á€¸
140,170,1/15/2021,Gangaw Township,Magway Region,69,Gangaw,Magway,Gangaw,MMR009023,MMR009,Magway,á€‚á€”á€ºá€·á€‚á€±á€«
141,171,1/15/2021,Thayet Township,Magway Region,68,Thayet,Magway,Thayet,MMR009012,MMR009,Magway,á€žá€›á€€á€º
142,172,1/15/2021,Kangyidaunt Township,Ayeyarwady Region,67,Kangyidaunt,Ayeyarwady,Kangyidaunt,MMR017002,MMR017,Ayeyarwady,á€€á€”á€ºá€€á€¼á€®á€¸á€‘á€±á€¬á€„á€ºá€·
